(Sofa, against_wall)
(Coffee table, in_center_of_room)
(Television, on_tv_stand)
(TV stand, against_wall)
(Rug, under_coffee_table)
(Floor lamp, next_to_sofa)
(Throw pillow, on_sofa)
(Blanket, draped_over_sofa)
(Bookshelf, against_wall)
(Book, on_bookshelf)
(Remote control, on_coffee_table)
(Window, behind_sofa)
(Curtains, drawn_open)
(Ceiling fan, on_ceiling)
(Painting, hung_on_wall)
(Speaker, on_tv_stand)
(Plant, in_corner)
(Magazine, on_coffee_table)
(Coaster, on_coffee_table)
(Clock, above_bookshelf)
