(Refrigerator, against_wall)
(Oven, built_into_counter)
(Microwave, on_counter)
(Toaster, next_to_microwave)
(Sink, under_window)
(Window, above_sink)
(Dish rack, next_to_sink)
(Cutting board, on_counter)
(Knife, on_cutting_board)
(Pan, on_stove)
(Stove, part_of_oven)
(Pot, on_stove)
(Spatula, in_utensil_holder)
(Utensil holder, on_counter)
(Cabinet, above_counter)
(Plate, in_dish_rack)
(Glass, in_dish_rack)
(Trash can, near_door)
(Apple, on_table)
(Loaf of bread, in_cabinet)
(Banana, on_counter)
(Egg carton, in_refrigerator)
(Cheese block, in_refrigerator)
(Tomato, on_cutting_board)
(Bottle of milk, in_refrigerator)
(Box of cereal, on_top_of_refrigerator)
(Table, in_center_of_room)
(Chair, under_table)
